icon_name,scenario,description,svg_path_hint
rocket,launch,启动 / 发布 / 快速,triangle-up
target,goal,目标 / 精准 / 命中,circle-bullseye
lightbulb,idea,创意 / 想法 / 启发,oval-top
chart_up,growth,增长 / 上升 / 进步,arrow-up-right
shield,security,安全 / 防护 / 信任,pentagon
lock,privacy,隐私 / 加密 / 锁定,rectangle-padlock
users,team,团队 / 协作 / 社群,circles-overlap
user,user,个人 / 用户 / 账户,circle-head
gear,settings,设置 / 配置 / 工具,cog-wheel
check,success,成功 / 完成 / 确认,check-mark
warning,alert,警告 / 注意 / 风险,triangle-exclamation
info,information,信息 / 提示 / 说明,circle-i
heart,like,喜爱 / 收藏 / 关注,heart-shape
star,favorite,收藏 / 评分 / 推荐,five-star
clock,time,时间 / 时长 / 截止,circle-hands
calendar,event,日期 / 活动 / 安排,rectangle-grid
mail,contact,邮件 / 联系 / 反馈,rectangle-flap
phone,call,电话 / 联系 / 支持,rectangle-curve
location,address,位置 / 地址 / 地图,teardrop
globe,global,全球 / 国际 / 多语言,circle-grid
cloud,storage,云端 / 存储 / 同步,cloud-shape
database,data,数据库 / 数据 / 仓库,cylinder-stack
code,development,代码 / 开发 / 编程,brackets-angle
bug,debug,调试 / 缺陷 / 修复,oval-antenna
wifi,network,网络 / 连接 / 信号,arc-stack
battery,energy,电量 / 能量 / 续航,rectangle-fill
sun,brightness,亮度 / 白天 / 启用,circle-rays
moon,darkmode,暗色 / 夜间 / 休息,crescent
leaf,eco,环保 / 自然 / 可持续,leaf-shape
recycle,renewable,可再生 / 循环 / 绿色,triangle-arrows
